Keyword,Search Volume,Competition,Difficulty,Intent,Target Page,Priority,Current Rank,Target Rank
"free job training Indiana",1200,Low,25,High,Homepage,High,Not Ranked,Top 3
"WIOA training programs",800,Low,30,High,Programs Page,High,Not Ranked,Top 5
"workforce development Indiana",600,Medium,35,Medium,Homepage,High,Not Ranked,Top 5
"career training Indianapolis",500,Medium,40,High,Programs Page,Medium,Not Ranked,Top 10
"home health aide training Indiana",400,Low,20,High,HHA Program Page,High,Not Ranked,Top 3
"IT support training Indianapolis",350,Low,25,High,IT Program Page,High,Not Ranked,Top 3
"barbering school Indiana",300,Medium,30,High,Barbering Program Page,Medium,Not Ranked,Top 5
"workforce ready grant Indiana",250,Low,15,High,Funding Page,Medium,Not Ranked,Top 3
"job training near me Indianapolis",200,Low,20,High,Homepage,Medium,Not Ranked,Top 5
"free career training Indiana",180,Low,25,High,Programs Page,Medium,Not Ranked,Top 5
"WIOA eligible training providers",150,Low,30,High,Programs Page,Medium,Not Ranked,Top 5
"beauty school Indianapolis",120,Medium,35,Medium,Beauty Program Page,Low,Not Ranked,Top 10
"CPR training Indianapolis",100,Medium,25,Medium,CPR Program Page,Low,Not Ranked,Top 10
"Microsoft Office training Indiana",90,Low,20,Medium,Office Program Page,Low,Not Ranked,Top 10
"digital literacy training",80,Low,15,Medium,Digital Program Page,Low,Not Ranked,Top 10
"how to get free job training",70,Low,10,High,Blog/FAQ,Medium,Not Ranked,Top 5
"WIOA funding eligibility",60,Low,15,High,Funding Page,Medium,Not Ranked,Top 3
"workforce development programs near me",50,Low,20,Medium,Programs Page,Low,Not Ranked,Top 10
"career change training Indiana",45,Low,25,High,Homepage,Low,Not Ranked,Top 10
"job placement assistance Indianapolis",40,Low,15,Medium,Outcomes Page,Low,Not Ranked,Top 10
"adult education Indianapolis",35,Medium,30,Medium,Programs Page,Low,Not Ranked,Top 15
"vocational training Indiana",30,Medium,35,Medium,Programs Page,Low,Not Ranked,Top 15
"skills training programs",25,Low,20,Medium,Programs Page,Low,Not Ranked,Top 15
"employment training services",20,Low,25,Medium,Homepage,Low,Not Ranked,Top 15
"career counseling Indianapolis",18,Low,15,Low,Contact Page,Low,Not Ranked,Top 20
