Program Name,ETPL / INTraining Status,Tuition / Cost Displayed,Tuition Covered for Eligible Students,Duration / Hours / Modality,Prerequisites,Instructor Credentials Listed,Completion Rate,Credential Attainment Rate,Employment Rate Q2,Employment Rate Q4,Median Earnings Q2,Funding Eligibility Criteria Clear,Last Updated Date,Notes,Priority Level,Action Required
Home Health Aide (HHA) Training,NEEDS VERIFICATION,NOT VISIBLE,UNCLEAR,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Healthcare certification program - likely WIOA eligible,HIGH,Verify ETPL status and add performance data
CPR & OSHA Safety Technician,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Safety certification - typically short duration,MEDIUM,Add program specifications and outcomes
Direct Support Professional (DSP),NEEDS VERIFICATION,NOT VISIBLE,UNCLEAR,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Healthcare support role - growing demand,HIGH,Verify funding eligibility and add data
First Aid & Workplace Safety,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Basic safety training - likely short course,LOW,Add basic program information
Microsoft Office Specialist,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,MOS certification - industry standard,MEDIUM,Add certification pass rates and employment data
Google Workspace Productivity,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Google certification pathway,MEDIUM,Verify Google partnership and add outcomes
Digital Literacy & IC3,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Basic digital skills - foundational,MEDIUM,Add IC3 certification details
Remote Work & Help Desk,NEEDS VERIFICATION,NOT VISIBLE,UNCLEAR,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,IT support pathway - high demand,HIGH,Add employment outcomes and salary data
ServSafe Food Handler,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Food service certification - industry required,LOW,Add certification pass rates
ServSafe Manager,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Management level food safety,MEDIUM,Add career advancement outcomes
Youth Entrepreneurship,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Youth program - special requirements,MEDIUM,Verify age requirements and outcomes
Business Administration,NEEDS VERIFICATION,NOT VISIBLE,UNCLEAR,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,General business skills,MEDIUM,Add specific skill outcomes
OSHA 10 Hour Certification,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,10 HOURS,NONE TYPICALLY,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Standard safety training,LOW,Add completion tracking
OSHA 30 Hour Certification,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,30 HOURS,NONE TYPICALLY,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Advanced safety training,LOW,Add completion tracking
Janitorial Services,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Essential services training,MEDIUM,Add employment placement data
Barbering Youth Bootcamp,NEEDS VERIFICATION,NOT VISIBLE,LIKELY COVERED,MISSING,MISSING,NO,MISSING,MISSING,MISSING,MISSING,MISSING,PARTIAL,MISSING,Youth program - state licensing required,HIGH,Verify state licensing requirements
