File Path,Title,Purpose,Audience,Word Count,Quality Score,Action,Reason
"404.html","Page not found","Unknown","General",27,2.7,"KEEP","Error pages are necessary"
"410.html","410 - Gone","Unknown","General",69,2.7,"KEEP","Error pages are necessary"
"EMERGENCY_SALE_BUY_NOW.html","Buy Now - EFH Emergency Sale","Program Info","General",161,3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"READY_FOR_TRANSFER_index.html","Launch Your AI & Data Science Career | Elevate for Humanity","Program Info","Employers",441,4,"KEEP","High quality content, good scores across criteria"
"about/index.html","About Us | Elevate for Humanity","Program Info","General",31,3.4,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"about.html","About Elevate for Humanity | WIOA-Approved Workforce Development","Program Info","Veterans",675,4.1,"KEEP","High quality content, good scores across criteria"
"acc-style-landing.html","Train for Your Career in Tech & Trades | Elevate for Humanity","Program Info","General",1326,4,"KEEP","High quality content, good scores across criteria"
"account.html","No Title","Unknown","General",43,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"admin/admin-approvals-dashboard.html","EFH – Approvals Admin","Unknown","General",197,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"admin/admin-dashboard.html","Admin Dashboard | Elevate for Humanity | Reporting & Analytics","Enrollment","Employers",61,3.3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"admin/audit-compliance.html","Audit Trail & Compliance Logging - DOL/DWD System","About/Info","General",453,3.3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"admin-approvals-dashboard.html","EFH – Approvals Admin","Admin/Internal","General",274,2.7,"REMOVE","Internal/admin content not needed for public site"
"admin-dashboard.html","Admin Dashboard | Elevate for Humanity | Reporting & Analytics","Enrollment","Employers",61,3.3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"app/index.html","Launch Your AI &amp; Data Science Career | Elevate for Humanity","Program Info","Employers",26,3.9,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"auth-login.html","EFH Secure Login","Admin/Internal","Employers",210,2.7,"REMOVE","Internal/admin content not needed for public site"
"bing-site-verification.html","Bing Site Verification - Elevate for Humanity","Unknown","General",36,2.9,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"blog.html","No Title","Unknown","Students",139,2.9,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"bnpl-frontend.html","Buy Now, Pay Later - EFH Programs","Unknown","General",32,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"buy-license.html","Buy Elevate License | Secure Checkout","Contact/Lead Gen","General",711,3.4,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"check-deployment.html","🚀 Deployment Status Check","Unknown","General",153,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"clean-professional.html","Elevate for Humanity - Workforce Development & Training","Program Info","Students",409,3.7,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"client/index.html","Elevate for Humanity · Workforce Development & Training Institute","Program Info","General",20,3.6,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"compliance.html","DOL/DWD Compliance Portal - Elevate for Humanity","Unknown","General",125,3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"connect.html","No Title","Unknown","General",2,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"contact/index.html","Contact Us | Elevate for Humanity","Enrollment","Students",325,3.6,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"contracts/index.html","Government Contracts | Elevate for Humanity","Program Info","Students",152,3.6,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"cost-tracking.html","Cost Tracking & Federal Funding - DOL/DWD Compliance","Program Info","General",453,3.3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"demo-site.html","No Title","Unknown","General",75,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"digital-binder.html","Digital Binder | Student Progress Tracking | Elevate for Humanity","Enrollment","Students",477,3.6,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"docs/jsdoc/index.html","JSDoc: Home","Unknown","General",22,2.7,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
"donate.html","Donate - Elevate for Humanity","Program Info","Students",224,3.3,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"ecosystem-status.html","Ecosystem Status - Where Are We At Now | Elevate for Humanity","Contact/Lead Gen","General",1866,3.4,"REWRITE/ENHANCE","Good foundation but needs improvement in clarity, completeness, or CTAs"
"elevate-store.html","Elevate Codebase Store - Licensed Student Portal Platform","Admin/Internal","Staff",408,2.7,"REMOVE","Internal/admin content not needed for public site"
"elevate_license_dashboard.html","Elevate License Portal","Unknown","General",240,2.9,"REWRITE/ENHANCE","Significant improvements needed across multiple criteria"
